seller_state,seller_id,orders,gmv,avg_order_gmv
SP,4869f7a5dfa277a7dca6462dcf3b52b2,1132,249640.7,220.53065371024735
SP,7c67e1448b00f6e969d365cea6b010ab,982,239536.44000000006,243.92712830957237
BA,53243585a1d6dc2643021fd1853d8905,358,235856.68,658.8175418994413
SP,4a3ca9315b744ce9f8e9374361493884,1806,235539.95999999988,130.42079734219263
SP,fa1c13f2614d7b5c4749cbc52fecda94,585,204084.73000000004,348.8627863247864
SP,da8622b14eb17ae2831f4ac5b9dab84a,1314,185192.32,140.9378386605784
SP,7e93a43ef30c4f03f38b393420bc753a,336,182754.05000000002,543.9108630952381
SP,1025f0e2d44d7041d6cf58b6550e0bfa,915,172860.69,188.9187868852459
SP,7a67c85e85bb2ce8582c35f2203ad736,1160,162648.3800000001,140.21412068965526
SP,955fee9216a65b617aa5c0531780ce60,1287,160602.68000000008,124.78840714840722
SP,6560211a19b47992c3666cc44a7e94c0,1854,151265.76999999976,81.58887270765898
SP,1f50f920176fa81dab994f9023523100,1404,142104.97999999995,101.21437321937319
RJ,46dc3b2cc0980fb8ec44634e21d2718e,521,139909.69,268.5406717850288
MG,a1043bafd471dff536d0c462352beb48,718,133745.25000000003,186.274721448468
SP,cc419e0650a3c5ba77189a1882b7556a,1706,129957.40999999995,76.17667643610783
RJ,620c87c171fb2a6dd6e8bb4dec959fc6,740,128909.70999999999,174.2023108108108
SP,5dceca129747e92ff8ef7a997dc4f8ca,325,125816.91999999998,387.1289846153846
SP,7d13fca15225358621be4086e1eb0964,565,122261.02000000008,216.3911858407081
SP,3d871de0142ce09b7081e2b9d1733cb1,1080,117347.70999999985,108.6552870370369
RJ,edb1ef5e36e0c8cd84eb3c9b003e486d,166,83189.65,501.14246987951805
PR,ccc4bbb5f32a6ab2b7066a4130f114e3,187,79261.59999999999,423.8588235294117
SP,cca3071e3e9bb7d12640c9fbe2301306,712,78381.29,110.08608146067415
SP,8581055ce74af1daba164fdbd55a40de,387,74584.29999999997,192.7242894056847
SP,f7ba60f8c3f99e7ee4042fdef03b70c4,219,72736.01,332.127899543379
SP,fe2032dab1a61af8794248c8196565c9,294,70680.95,240.41139455782312
PE,de722cd6dad950a92b7d4f82673f8833,339,65112.75,192.0730088495575
SP,7ddcbb64b5bc1ef36ca8c151f6ec77df,334,63525.28999999999,190.19547904191614
SC,04308b1ee57b6625f47df1d56f00eedf,94,63184.990000000005,672.1807446808511
SP,f8db351d8c4c4c22c6835c19a46f01b0,667,63079.80000000004,94.57241379310351
SP,218d46b86c1881d022bce9c68a7d4b15,388,62737.54,161.6946907216495
